Event Date,# Shows,Headliner,Support,Venue,City,State,Country,Market,Company Type,Currency,Promoter,Genre,Avg. Tickets Sold,Avg. Gross USD,Avg. Event Capacity,Avg. Capacity Sold,Ticket Price Min,Ticket Price Max,Ticket Price Avg. USD,yt View Count,yt Subscriber Count,yt Video Count,sp followers,Asian_Percentage_City
2024-07-15,1.0,IU,,Prudential Center,Newark,New Jersey,United States,New York,Arena,US Dollar,FPC Live (Frank Productions Concerts),Asian Pop,12419.0,1865698.0,12419.0,100%,59.5,229.5,150.23,2992142616,9720000,295,5675418,2.014608514584113
2024-07-19,1.0,IU,,State Farm Arena,Atlanta,Georgia,United States,Atlanta,Arena,US Dollar,FPC Live (Frank Productions Concerts),Asian Pop,11832.0,1623524.22,11832.0,100%,59.5,199.5,137.21,2992142616,9720000,295,5675418,4.949094451113294
2024-07-22,1.0,IU,,Capital One Arena,Washington,District of Columbia,United States,Washington,Arena,US Dollar,"(In-House Promotion), Live Nation",Asian Pop,13806.0,2059896.0,13806.0,100%,59.5,199.5,149.2,2992142616,9720000,295,5675418,4.036314452859957
2024-07-25,1.0,IU,,Allstate Arena,Rosemont,Illinois,United States,Chicago,Arena,US Dollar,Live Nation,Asian Pop,12887.0,1613337.0,12887.0,100%,59.5,199.5,125.19,2992142616,9720000,295,5675418,4.2184265010351965
2024-07-30,1.0,IU,,Oakland Arena,Oakland,California,United States,San Francisco-Oakland-San Jose,Arena,US Dollar,(In-House Promotion),Asian Pop,13321.0,2250399.3,13321.0,100%,56.67,190.0,168.94,2992142616,9720000,295,5675418,15.871866613372925
2024-08-02,1.0,IU,,Kia Forum,Inglewood,California,United States,Los Angeles,Arena,US Dollar,(In-House Promotion),Asian Pop,13815.0,2889448.0,13815.0,100%,59.5,199.5,209.15,2992142616,9720000,295,5675418,2.7095856038050297
